"","Brewery","City","Year.Founded","Address","Latitude","Longitude","Postal.Code","Ratebeer","Untappd","S_untappd"
"1","LE CHEVAL BLANC ","MONTRÉAL","1987","809, RUE ONTARIO EST ",45.518207,-73.564277,"H2L 1P1 ","http://www.ratebeer.com/brewers/le-cheval-blanc/1111/","https://untappd.com/LeChevalBlancCo",3.71
"2","L'INOX","QUÉBEC ","1987","655, GRANDE-ALLÉE EST ",46.806454,-71.215989,"G1R 2K4 ","http://www.ratebeer.com/brewers/linox-maitres-brasseurs/1110/","https://untappd.com/w/l-inox-ma-tres-brasseurs/17654",3.48
"3","MICROBRASSERIE LA DIABLE ","MONT-TREMBLANT ","1997","117, CHEMIN KANDAHAR, C.P. 2669, SUCC.B ",46.209756,-74.585661,"J8E 1B1 ","http://www.ratebeer.com/brewers/microbrasserie-la-diable/1452/","https://untappd.com/w/microbrasserie-la-diable/40267",3.5
"4","BRASSERIE ART. CHEZ GAMBRINUS","TROIS-RIVIÈRES ","1996","3160, BOULEVARD DES FORGES ",46.349034,-72.571664,"G8Z 1V6 ","http://www.ratebeer.com/brewers/brasserie-chez-gambrinus/1804/","https://untappd.com/w/gambrinus-brasserie-artisanale/33840",3.39
"5","BRASS. ARTISANALE L'AMERE A BOIRE","MONTRÉAL ","1996","2049, RUE SAINT-DENIS ",45.516375,-73.566117,"H2X 3K9 ","http://www.ratebeer.com/brewers/lamere-a-boire/912/","https://untappd.com/w/lamere-a-boire/6335",3.5
"6","BRUTOPIA ","MONTRÉAL ","1997","1219, RUE CRESCENT",45.496724,-73.574436,"H3G 2B1 ","http://www.ratebeer.com/brewers/brutopia/914/","https://untappd.com/Brutopiabrewpub",3.39
"7","BRASSERIE DIEU DU CIEL","MONTRÉAL ","1998","29, RUE LAURIER OUEST",45.522515,-73.5933,"H2T 2N2 ","http://www.ratebeer.com/brewers/dieu-du-ciel/364/","https://untappd.com/w/brasserie-dieu-du-ciel/1674",3.9
"8","LE BROUEMONT ","BROMONT ","2004","107, BOULEVARD BROMONT",45.317971,-72.656949,"J2L 2K7 ","http://www.ratebeer.com/brewers/brouemont/3788/","https://untappd.com/w/brouemont-microbrasserie--restaurant/23273",3.68
"9","LES TROIS BRASSEURS (SAINT-DENIS)","MONTRÉAL ","2002","1660, RUE SAINT-DENIS",45.515045,-73.563568,"H2X 3K6 ","http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/","https://untappd.com/Les3BrasseursThe3Brewers",3.39
"10","LE RÉSERVOIR ","MONTRÉAL ","2002","9, RUE DULUTH ",45.517212,-73.579193,"H2W 1G7 ","http://www.ratebeer.com/brewers/reservoir/3059/","https://untappd.com/w/reservoir/18527",3.57
"11","MICRO-BRASSERIE DE LA MARE AU DIABLE","SHERBROOKE ","2003","151, RUE KING OUEST ",45.401048,-71.891302,"J1H 1P4 ","http://www.ratebeer.com/brewers/la-mare-au-diable/4230/","https://untappd.com/w/la-mare-au-diable/59351",3.46
"12","BEDONDAINE ET BEDONS RONDS","CHAMBLY ","2005","255, RUE OSTIGUY ",45.446502,-73.28606,"J3L 2Z7 ","http://www.ratebeer.com/brewers/bedondaine-et-bedons-ronds/5843/","https://untappd.com/w/bedondaine-bedons-ronds/19446",3.62
"13","LES TROIS BRASSEURS (SAINTE-CATHERINE)","MONTRÉAL ","2005","732, RUE SAINTE-CATHERINE OUEST ",45.502451,-73.570372,"H3B 1B9 ","http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/","https://untappd.com/Les3BrasseursThe3Brewers",3.39
"14","LES TROIS BRASSEURS (SAINT-PAUL)","MONTRÉAL ","2005","105, RUE SAINT-PAUL EST ",45.506762,-73.553042,"H2Y 1G7 ","http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/","https://untappd.com/Les3BrasseursThe3Brewers",3.39
"15","BENELUX ","MONTRÉAL ","2006","245, SHERBROOKE OUEST ",45.509506,-73.570918,"H2X 1X7 ","http://www.ratebeer.com/brewers/benelux-brasserie-artisanale/6830/","https://untappd.com/w/benelux-brasserie-artisanale/4092",3.72
"16","LES TROIS BRASSEURS (CRESCENT)","MONTRÉAL ","2006","1356, RUE SAINTE-CATHERINE OUEST ",45.497248,-73.575498,"H3G 1P6 ","http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/","https://untappd.com/Les3BrasseursThe3Brewers",3.39
"17","H.E.L.M.","MONTRÉAL ","2006","273, RUE BERNARD OUEST ",45.524018,-73.605372,"H2V 1T5 ","http://www.ratebeer.com/brewers/helm-brasseur-gourmand/8373/","https://untappd.com/w/helm-microbrasserie/33965",3.49
"18","LE SAINT-BOCK BRASSERIE ARTISANALE","MONTRÉAL ","2006","1749, RUE SAINT-DENIS ",45.515861,-73.564783,"H2X 3K4 ","http://www.ratebeer.com/brewers/le-saint-bock/8288/","https://untappd.com/v/le-saint-bock/56961",NA
"19","LES TROIS BRASSEURS ","BROSSARD ","2008","9316, BOULEVARD LEDUC ",45.445687,-73.436091,"J4Y 0B3 ","http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/","https://untappd.com/Les3BrasseursThe3Brewers",3.39
"20","PUB LA VOIE MALTÉE ","CHICOUTIMI","2008","777, BOULEVARD TALBOT ",48.41731,-71.045159,"G7H 4B3 ","http://www.ratebeer.com/brewers/la-voie-maltee/3253/","https://untappd.com/w/la-voie-malt-e/10366",3.61
"21","LES TROIS BRASSEURS ","LAVAL ","2010","2900, AVENUE PIERRE-PÉLADEAU ",45.562774,-73.744046,"H7T 3B3 ","http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/","https://untappd.com/Les3BrasseursThe3Brewers",3.39
"22","KORRIGANE ","QUÉBEC","2010","380, RUE DORCHESTER ",46.813801,-71.226946,"G1K 6A7 ","http://www.ratebeer.com/brewers/la-korrigane/5995/","https://untappd.com/w/brasserie-la-korrigane/12734",3.57
"23","LA FABRIQUE","MATANE ","2014","360, AVENUE SAINTJÉRÔME ",48.84672,-67.529536,"G4W 3B1 ","http://www.ratebeer.com/brewers/la-fabrique/11271/","https://untappd.com/w/brasserie-artisanale-la-fabrique/31931",3.63
"24","MICROBRASSERIE LA CAPTIVE","AMQUI ","2010","140, BOULEVARD SAINT-BENOIT OUEST ",48.465671,-67.431517,"G5J 2E8 ","http://www.ratebeer.com/brewers/microbrasserie-la-captive/12349/","https://untappd.com/w/microbrasserie-la-captive/31929",3.33
"25","ALBION BRASSERIE ARTISANALE ","JOLIETTE ","2010","408, BOULEVARD MANSEAU ",46.025392,-73.43951,"J6E 3E1 ","http://www.ratebeer.com/brewers/brasserie-artisanale-albion/12381/","https://untappd.com/BrasserieAlbion",3.84
"26","LA SUCCURSALE ","MONTRÉAL ","2011","3188, RUE MASSON ",45.55016,-73.573493,"H1Y 1Y1 ","http://www.ratebeer.com/brewers/la-succursale/12864/","https://untappd.com/w/la-succursale/20082",3.61
"27","LES TROIS BRASSEURS (ANJOU)","MONTRÉAL ","2011","7225, BOULEVARD LES GALERIES D'ANJOU ",45.596872,-73.560503,"H1M 2W2 ","http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/","https://untappd.com/Les3BrasseursThe3Brewers",3.39
"28","LA SOCIÉTÉ MICRO BRASSERIE","SAINT-GEORGES ","2010","11640, 1RE AVENUE ",46.623744,-72.657681,"G5Y 2C7 ","http://www.ratebeer.com/brewers/la-societe-microbrasserie/14044/","https://untappd.com/w/la-soci-t-microbrasserie/25369",3.33
"29","MICROBRASSERIE LE COUREUR DES BOIS","DOLBEAU-MISTASSINI ","2011","1551, BOULVARD WALLBERG ",48.883188,-72.233521,"G8L 1H5 ","http://www.ratebeer.com/brewers/microbrasserie-le-coureur-des-bois/14045/","https://untappd.com/w/microbrasserie-le-coureur-des-bois/20682",3.48
"30","LES TROIS BRASSEURS ","QUÉBEC ","2011","2450, BOULEVARD LAURIER ",46.773874,-71.275233,"G1V 2L1","http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/","https://untappd.com/Les3BrasseursThe3Brewers",3.39
"31","BRASSERIE ARTISANALE LE SAINT-GRAAL","SAINTE-THÉRÈSE ","2010","32, RUE TURGEON ",45.638525,-73.840683,"J7E 3H4 ","http://www.ratebeer.com/brewers/le-saint-graal/12232/","https://untappd.com/w/brasserie-artisanale-le-saintgraal/22006",3.64
"32","BISTRO-BRASSERIE LES SŒURS GRISES","MONTRÉAL ","2011","32, RUE MCGILL",45.498723,-73.553162,"H2Y 3W5 ","http://www.ratebeer.com/brewers/bistro-brasserie-les-soeurs-grises/14232/","https://untappd.com/w/bistro-brasserie-les-soeurs-grises/66544",3.55
"33","LAGABIÈRE BRASSERIE ARTISANALE","SAINT-JEAN-SUR-RICHELIEU","2012","167, RUE RICHELIEU ",45.305432,-73.25067,"J3B 6X7 ","http://www.ratebeer.com/brewers/lagabiere/15804/","https://untappd.com/Lagabiere",3.8
"34","L'ESPACE PUBLIC - BRASSEURS DU QUARTIER","MONTRÉAL ","2011","3632, RUE ONTARIO EST",45.545397,-73.544393,"H1W 1R7 ","http://www.ratebeer.com/brewers/lespace-public/13945/","https://untappd.com/w/l-espace-public-brasseurs-de-quartier/22743",3.63
"35","BRASSERIE ARTISANALE LA SOUCHE","QUÉBEC ","2011","801, CHEMIN DE LA CANARDIÈRE ",46.828713,-71.225838,"G1J 2B8 ","http://www.ratebeer.com/brewers/la-souche/15628/","https://untappd.com/LaSoucheBrasserieArtisanale",3.68
"36","BENELUX (VERDUN)","VERDUN","2013","4026, RUE WELLINGTON",45.463416,-73.566807,"H4G 1V3 ","http://www.ratebeer.com/brewers/benelux-brasserie-artisanale-verdun/16811/","https://untappd.com/w/benelux-brasserie-artisanale/4092",3.72
"37","LA VOIE MALTÉE (QUÉBEC)","QUÉBEC ","2013","1040, BOULEVARD PIERRE BERTRAND ",46.828989,-71.27581,"G1M 3H1 ","http://www.ratebeer.com/brewers/la-voie-maltee/3253/","https://untappd.com/w/la-voie-malt-e/10366",3.61
"38","LES TROIS BRASSEURS ","QUÉBEC ","2013","5401, BOULEVARD DES GALLERIES - PORTE 107 ",46.825737,-71.234911,"G2K 1N4 ","http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/","https://untappd.com/Les3BrasseursThe3Brewers",3.39
"39","LES TROIS BRASSEURS (POINTE-CLAIRE)","POINTE-CLAIRE ","2013","46-A, BOULEVARD BRUNSWICK ",45.468852,-73.826575,"H9B 2L3 ","http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/","https://untappd.com/Les3BrasseursThe3Brewers",3.39
"40","LES TROIS BRASSEURS ","QUÉBEC ","2014","650, GRANDE ALLÉE EST",46.806694,-71.216178,"G1R 2K5 ","http://www.ratebeer.com/brewers/les-3-brasseurs--the-3-brewers-canada/5673/","https://untappd.com/Les3BrasseursThe3Brewers",3.39
"41","MICROBRASSERIE LA BOITE À MALT","SAINT-NICOLAS","2014","585, ROUTE 116 - LOCAL 402 ",46.79101,-71.175327,"G7A 2P6 ","http://www.ratebeer.com/brewers/microbrasserie-la-boite-a-malt/18787/","https://untappd.com/BoiteaMalt",3.46
"42","RESTO-GRILLADE ZEMA","PLESSISVILLE ","2014","1507, AVENUE SAINT-LOUIS ",46.208855,-71.75957,"G6L 2M7 ","http://www.ratebeer.com/brewers/microbrasserie-kapadokya/22174/","https://untappd.com/w/microbrasserie-kapadokya/286988",3.32
"43","RESTAURANT LAUREA","MONTRÉAL","2009","381, LAURIER OUEST",45.5191,-73.596361,"H2V 2K3","?","https://untappd.com/w/lorbeer/222909",NA
"44","COOPÉRATIVE BRASSICOLE DE L'AUTRE MONDE","SHERBROOKE ","2007","50, RUE WELLINGTON NORD ",45.402304,-71.890713,"J1H 5B7 ","http://www.ratebeer.com/brewers/boquebiere/10156/","https://untappd.com/boquebiere",3.66
"45","PUB LA VOIE MALTÉE ","JONQUIÈRE","2002","2509, RUE SAINT-DOMINIQUE ",48.364064,-71.284807,"G7X 6K1 ","http://www.ratebeer.com/brewers/la-voie-maltee/3253/","https://untappd.com/w/la-voie-malt-e/10366",3.61
"46","BRASSERIE HARRICANA ","MONTRÉAL ","2014","95, RUE JEAN-TALON EST ",45.533774,-73.619444,"H2R 2W8 ","http://www.ratebeer.com/brewers/brasserie-harricana/22336/","https://untappd.com/BrasserieHarricana",3.79
"47","À L'ABORDAGE MICROBRASSERIE","SUTTON","2015","10, RUE PRINCIPALE SUD ",45.112625,-72.617367,"J0E 2K0 ","http://www.ratebeer.com/brewers/a-labordage/24792/","https://untappd.com/alabordage",3.71
"48","LA CONFRÉRIE MICROBRASSERIE","SAINT-ANTOINE-DE-TILLY ","2015","4385, TERRASSE DES CHÊNES",46.655855,-71.602242,"G0S 2C0 ","http://www.ratebeer.com/brewers/la-confrerie-microbrasserie/25506/","https://untappd.com/LaConfrerieMicrobrasserie",3.74
"49","BARBE BROUE PUB ","VILLE-MARIE ","2015","69, RUE SAINTE-ANNE ",47.332054,-79.436392,"J9V 2B6","http://www.ratebeer.com/brewers/barbe-broue-pub/26717/","https://untappd.com/w/barbebroue/234411",NA
"50","BRASSEURS DU MOULIN","BELOEIL","2015","991, RUE RICHELIEU - SUITE 101 ET 102",45.569724,-73.199197,"J3G 4P8","http://www.ratebeer.com/brewers/brasseurs-du-moulin/25223/","https://untappd.com/w/brasseurs-du-moulin/209204",3.44
"51","NOCTEM ARTISANS BRASSEURS","QUEBEC","2015","438, RUE DU PARVIS",46.81409,-71.223395,"G1K 6H8","http://www.ratebeer.com/brewers/noctem-artisans-brasseurs/24901/","https://untappd.com/NoctemArtisansBrasseurs",3.78
"52","LA BROUE SHOP BRASSERIE ARTISANALE","SAINTE-JULIE","2015","1950-A, CHEMIN DU FER-À-CHEVAL",45.575356,-73.326983,"J3E 2T6","http://www.ratebeer.com/brewers/broue-shop/25635/","https://untappd.com/BroueShop",3.69
"53","BISTRO-BRASSERIE LES SŒURS GRISES","TROIS-RIVIÈRES ","2015","1433, RUE NOTRE-DAME CENTRE",46.331815,-72.555758,"G9A 4X1","http://www.ratebeer.com/brewers/bistro-brasserie-les-soeurs-grises/14232/","https://untappd.com/w/bistro-brasserie-les-soeurs-grises/66544",3.55
"54","LA BRASSERIE LABATT DU CANADA S.C.S.","MONTREAL","","50, AVENUE LABATT",45.42525,-73.644495,"H8R 3E7","http://www.ratebeer.com/brewers/labatt-breweries-ab-inbev/51/","https://untappd.com/LabattBrewingCompany",2.82
"55","MOLSON CANADA","MONTREAL","","2005 1555 & 1320,1500,1550 1670 RUE NOTREDAME EST",45.51991,-73.547323,"H2L 2R5","http://www.ratebeer.com/brewers/molson-breweries-molsoncoors/49/","https://untappd.com/MolsonCoors",2.92
"56","UNIBROUE & SLEEMAN ","CHAMBLY ","1991","80, RUE DES CARRIÈRES ",45.441167,-73.260756,"J3L 2H6 ","http://www.ratebeer.com/brewers/unibroue-sapporo/180/","https://untappd.com/Unibroue",3.8
"57","BRASSERIE LE LION D'OR ","SHERBROOKE ","1986","2896, RUE DU COLLÈGE ",45.402996,-71.887681,"J1M 1Z6","http://www.ratebeer.com/brewers/golden-lion--lion-dor/378/","https://untappd.com/w/lion-d-or/21864",3.26
"58","LES BRASSEURS RJ","MONTRÉAL ","1998","5585, RUE DE LA ROCHE",45.533657,-73.591471,"H2J 3K3 ","http://www.ratebeer.com/brewers/brasseurs-rj/365/","https://untappd.com/w/les-brasseurs-rj/6611",3.34
"59","LES BRASSEURS DU NORD","BLAINVILLE","1988","875, BOULEVARD MICHÈLE-BOHEC ",45.663306,-73.887209,"J7C 5J6 ","http://www.ratebeer.com/brewers/brasseurs-du-nord/335/","https://untappd.com/LesBrasseursduNord",3.55
"60","LA BRASSERIE MCAUSLAN","MONTRÉAL ","2014","5080, RUE SAINT-AMBROISE ",45.46796,-73.590817,"H4C 2G1 ","http://www.ratebeer.com/brewers/mcauslan-brewing-brasseurs-rj/137/","https://untappd.com/McAuslanBrewing",3.52
"61","FERME BRASSERIE SCHOUNE","SAINT-POLYCARPE ","1996","2075, CHEMIN STE-CATHERINE ",45.290951,-74.321352,"J0P 1X0 ","http://www.ratebeer.com/brewers/ferme-brasserie-schoune/902/","https://untappd.com/FermeBrasserieSchoune",3.22
"62","LES BRASSERIES BVM DU CANADA","MONTRÉAL ","2001","6729, AVENUE DE L'ESPLANADE ",45.529764,-73.615385,"H2V 4P9 ","http://www.ratebeer.com/brewers/brasserie-vieux-montreal-bvm/6124/","https://untappd.com/w/brasserie-bvm-inc-vieux-montreal/32821",2.84
"63","LA BARBERIE ","QUÉBEC","1997","310, RUE SAINT-ROCH ",46.818009,-71.218074,"G1K 6S2 ","http://www.ratebeer.com/brewers/la-barberie/906/","https://untappd.com/LaBarberie",3.55
"64","LES BRASSEURS DE WEST-SHEFFORD ","BROMONT ","2009","92, BOULEVARD BROMONT, LOCAL 101 ",45.317971,-72.656949,"J2L 2K6 ","http://www.ratebeer.com/brewers/brasserie-de-west-shefford/907/","https://untappd.com/w/les-brasseurs-de-west-shefford/188869",3.3
"65","LES BIÈRES DE LA NOUVELLE-France","SAINT-ALEXIS-DES-MONTS ","1998","90, RANG RIVIÈRES-AUX-ÉCORSES ",46.462516,-73.142861,"J0K 1V0 ","http://www.ratebeer.com/brewers/les-bieres-de-la-nouvelle-france/905/","https://untappd.com/w/les-bia-res-de-la-nouvelle-france/14220",2.84
"66","LE SAINT PUB","BAIE-SAINT-PAUL ","1998","2, RUE RACINE",47.442677,-70.50752,"G3M 2P8 ","http://www.ratebeer.com/brewers/microbrasserie-charlevoix--le-saint-pub/349/","https://untappd.com/microbrasserieCharlevoix",3.73
"67","BROUE-ALLIANCE","LAVAL","1996","3838, BOULEVARD LEMAN ",45.611316,-73.673798,"H7E 1A1 ","?","https://untappd.com/w/brew-alliance-groupe-geloso/47019",2.86
"68","MICRO-BRASSERIE DU LIÈVRE","MONT-LAURIER ","1999","131, BOUL. ALBINY-PAQUETTE ",46.552363,-75.497393,"J9L 1J2 ","http://www.ratebeer.com/brewers/microbrasserie-du-lievre/908/","https://untappd.com/w/microbrasserie-du-li-vre/10256",3.33
"69","MICRO BRASSERIE SAINT-ARNOULD","MONT-TREMBLANT","1995","435, RUE DES PIONNIERS ",46.209756,-74.585661,"J8E 1Y1 ","http://www.ratebeer.com/brewers/saint-arnould/916/","https://untappd.com/w/microbrasserie-saintarnould/3578",3.37
"70","BRASSERIE SAINT-ANTOINE-ABBÉ","FRANKLIN ","2002","3299, ROUTE 209 ",45.029534,-73.922908,"J0S 1E0 ","http://www.ratebeer.com/brewers/brasserie-saint-antoine-abbe/3058/","https://untappd.com/w/brasserie-saintantoineabbe/67857",2.92
"71","L'ALCHIMISTE ","JOLIETTE ","2006","681, RUE MARION",46.006804,-73.444481,"J6E 8S3 ","http://www.ratebeer.com/brewers/lalchimiste/1414/","https://untappd.com/w/alchimiste-microbrasserie/2168",3.25
"72","MICROBRASSERIE MULTI-BRASSES","TINGWICK ","2001","1209, RUE SAINT-JOSEPH ",45.881113,-71.943507,"J0A 1L0 ","http://www.ratebeer.com/brewers/multi-brasses/4861/","https://untappd.com/w/multi-brasses/12843",3.29
"73","MICROBRASSERIE LES TROIS MOUSQUETAIRES","BROSSARD ","2004","3755-C, BOULEVARD MATTE ",45.455483,-73.46789,"J4Y 2P4 ","http://www.ratebeer.com/brewers/les-trois-mousquetaires--ltm/5179/","https://untappd.com/lestroismousquetaires",3.84
"74","LES FRÈRES HOUBLON ","TROIS-RIVIÈRES ","2003","10180, CHEMIN SAINTE-MARGUERITE ",46.308299,-72.638379,"G9B 6M2 ","http://www.ratebeer.com/brewers/les-freres-houblon-microbrasserie/3854/","https://untappd.com/w/les-fr-res-houblon-microbrasserie/5263",3.2
"75","À L'ABRI DE LA TEMPÊTE ","LES ÎLES-DE-LA-MADELEINE ","2004","286, CHEMIN COULOMBE ",47.360122,-61.936274,"G4T 3V5 ","http://www.ratebeer.com/brewers/a-labri-de-la-tempete/5842/","https://untappd.com/Tempete",3.78
"76","MICRO-BRASSERIE LE GRIMOIRE","GRANBY ","2004","223, RUE PRINCIPALE ",45.400432,-72.727785,"J2G 2V7 ","http://www.ratebeer.com/brewers/le-grimoire-microbrasserie/5450/","https://untappd.com/w/microbrasserie-le-grimoire/14185",3.32
"77","BELGH BRASSE","AMOS ","1999","8, RUE DE LA BRASSERIE ",48.566847,-78.101778,"J9T 3A2 ","http://www.ratebeer.com/brewers/belgh-brasse-groupe-geloso/1389/","https://untappd.com/BelghBrasse",3.47
"78","MICRO-BRASSERIE DU SAGUENAY","SAGUENAY ","2014","224, RUE DES LAURENTIDES ",48.399191,-71.064318,"G7H 7X8 ","http://www.ratebeer.com/brewers/la-voie-maltee/3253/","https://untappd.com/w/la-voie-malt-e/10366",3.61
"79","PUB LA TOUR À BIÈRES","SAGUENAY ","2004","517, RUE RACINE EST ",48.42902,-71.052294,"G7H 1T8 ","http://www.ratebeer.com/brewers/brasseurs-du-saguenay--la-tour-a-bieres/5128/","https://untappd.com/w/la-tour-a-bieres/14108",3.16
"80","ARCHIBALD MICROBRASSERIE","LAC-BEAUPORT ","2005","1021, BOULEVARD DU LAC, LOCAL 200 ",46.944234,-71.296792,"G0A 2C0 ","http://www.ratebeer.com/brewers/microbrasserie-archibald-ab-inbev/5994/","https://untappd.com/Archibaldmicrobrasserie",3.4
"81","LA COMPAGNIE DE BIÈRE BRISSET INC. ","MONTRÉAL ","2011","370, RUE GUY, LOCAL G9 ",45.522451,-73.591283,"H3J 1S6 ","http://www.ratebeer.com/brewers/la-compagnie-de-biere-brisset/15336/","https://untappd.com/w/la-compagnie-de-biere-brisset-broken7/36345",3.29
"82","BRASSERIE DUNHAM","DUNHAM ","2006","3809, RUE PRINCIPALE, LOCAL 104",45.130259,-72.800714,"J0E 1M0 ","http://www.ratebeer.com/brewers/brasserie-dunham/12142/","https://untappd.com/BrasserieDunham",3.83
"83","LE MITAN","SAINTE-FAMILLE ","2006","3885, CHEMIN ROYAL ",46.971877,-70.964222,"G0A 3P0 ","http://www.ratebeer.com/brewers/microbrasserie-de-lile-dorleans/7340/","https://untappd.com/MicroOrleans",3.58
"84","HOPFENSTARK","L'ASSOMPTION ","2006","643, BOULEVARD DE L'ANGE-GARDIEN ",45.831472,-73.423308,"J5W 1T1 ","http://www.ratebeer.com/brewers/hopfenstark/8201/","https://untappd.com/Hopfenstark",3.69
"85","MICRO BRASSERIE PIT CARIBOU ","PERCÉ ","2007","27, RUE DE L'ANSE, LOCAL B ",48.524728,-64.212237,"G0C 1G0 ","http://www.ratebeer.com/brewers/microbrasserie-pit-caribou/9010/","https://untappd.com/w/microbrasserie-pit-caribou/9277",3.86
"86","LE TROU DU DIABLE","SHAWINIGAN ","2005","412, AVENUE WILLOW ",46.540362,-72.753359,"G9N 1X2 ","http://www.ratebeer.com/brewers/le-trou-du-diable/6444/","https://untappd.com/troududiable",3.74
